option,mode,repeat,ttl,answered,reply_src,reply_dst,reply_type,detail,sent_summary,reply_summary
unkctl3,tcp80,0,3,0,,,no-reply,timeout,IP / TCP 172.21.16.8:40003 > 43.131.31.97:http S,
unkctl3,tcp80,0,4,1,10.200.46.97,172.21.16.8,icmp-time-exceeded,ttl expired,IP / TCP 172.21.16.8:40004 > 43.131.31.97:http S,IP / ICMP 10.200.46.97 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / TCPerror / Padding
unkctl3,tcp80,0,5,1,10.162.8.38,172.21.16.8,icmp-time-exceeded,ttl expired,IP / TCP 172.21.16.8:40005 > 43.131.31.97:http S,IP / ICMP 10.162.8.38 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / TCPerror
unkctl3,tcp80,0,6,1,36.110.203.205,172.21.16.8,icmp-time-exceeded,ttl expired,IP / TCP 172.21.16.8:40006 > 43.131.31.97:http S,IP / ICMP 36.110.203.205 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / TCPerror
unkctl3,tcp80,0,7,1,36.110.243.125,172.21.16.8,icmp-time-exceeded,ttl expired,IP / TCP 172.21.16.8:40007 > 43.131.31.97:http S,IP / ICMP 36.110.243.125 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / TCPerror
unkctl3,tcp80,0,8,1,202.97.94.230,172.21.16.8,icmp-time-exceeded,ttl expired,IP / TCP 172.21.16.8:40008 > 43.131.31.97:http S,IP / ICMP 202.97.94.230 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / TCPerror / Padding
unkctl3,tcp80,0,9,1,202.97.12.170,172.21.16.8,icmp-time-exceeded,ttl expired,IP / TCP 172.21.16.8:40009 > 43.131.31.97:http S,IP / ICMP 202.97.12.170 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / TCPerror
unkctl3,tcp80,0,10,1,202.97.51.193,172.21.16.8,icmp-time-exceeded,ttl expired,IP / TCP 172.21.16.8:40010 > 43.131.31.97:http S,IP / ICMP 202.97.51.193 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / TCPerror / Padding
unkctl3,tcp80,0,11,0,,,no-reply,timeout,IP / TCP 172.21.16.8:40011 > 43.131.31.97:http S,
unkctl3,tcp80,0,12,0,,,no-reply,timeout,IP / TCP 172.21.16.8:40012 > 43.131.31.97:http S,
